gene	nlp	trait	rsid	explanation	explanation_source	gwas_source	annotation_source
ECI1	13.677160727313678	dodecadienoate (12:2)	rs55650311	ECI1 encodes an enoyl-CoA delta isomerase which exchanges a double bond at the 3 position for one at the 2 position in CoA bound fatty acids with demonstrated activity on C12 enoyl-CoA.  Dodecadienoate is likely derived from a product of this reaction.	8486162	35347128	35347128
ECI2	37.398	Blood metabolite levels (X-13435, a 10:1 acylcarnitine)	rs9392556	ECI2 encodes the enoyl-CoA delta isomerase 2, which is known to act on octenoyl-CoA and could possibly act on decenoyl-CoA as well.	10419495	24816252	30239796
ELOVL2	72.5	1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)*/1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	rs2208338	ELOVL2 encodes a long chain fatty acid elongase which acts specifically on very long chain fatty acids such as those observed at this locus.	12371743	36357675	36357675
ELOVL7	19.87	1-stearoyl-GPC (18:0)/1-arachidoyl-GPC (20:0)	rs4482855	ELOVL7 encodes a fatty acid elongase with highest activity against 18 carbon and 20 carbon fatty acid chains such as those found associated at this locus either singly or in the metabolite ratio.	21959040	36357675	36357675
ENOSF1	30.55	ribonate	rs10502289	ENOSF1 encodes a dehydratase which acts on a number of related sugar acids including ribonate,  the metabolite observed at this locus.	24697329	36357675	36357675
ENPP6	19.66	choline phosphate	rs78293932	ENPP6 encodes a glycerophosphocholine cholinephosphodiesterase which specifically hydrolyzes lysophosphatidylcholines to form a monoacylglycerol and choline phosphate, the metabolite observed here.	15788404	36357675	36357675
ETFA	30.48	isobutyrylcarnitine/propionylcarnitine	rs2959850	ETFA encodes a mitochondrial-specific electron transfer flavoprotein.  Enzyme deficiency results in urinary excretion of isobutyric acid and isobutyrylglycine; the urinary levels of these metabolites should reflect plasma levels of the analyte reported here, isobutyrylcarnitine., ETFA encodes a mitochondrial-specific electron transfer flavoprotein.  Enzyme deficiency results in urinary excretion of isobutyric acid and isobutyrylglycine	7360517	36357675	36357675
ETFDH	38.04	octanoylcarnitine	rs67481496	ETFDH encodes a mitochondrial electron transfer flavoprotein dehydrogenase which is essential for electron transfer from the short-, medium- and long-chain acyl-CoA dehydrogenases.  Mutations in ETFDH lead to multiple acyl-CoA dehydrogenase deficiency, which is characterized by elevated short-, medium- and long-chain acyl carnitines.	17412732	36357675	36357675
ETNPPL	27.146	ethanolamine|urine	rs56043887	ETNPPL encodes the ethanolamine-phosphate phospho-lyase which acts on the phosphorylated form of ethanolamine.  AGXT2L1 is a common synonym for this gene.	22241472	26352407	30239796
F12	25.222	Blood metabolite ratios (X-12038/bradykinin, des-arg(9))	rs2731672	F12 encodes coagulation factor XII, a protease which activates kallikrein which releases bradykinin from kininogen.	3521732	24816252	30239796
F3	51.222	D-dimer levels	rs12029080	F3 encodes coagulation factor 3, also known as tissue factor, which is involved in the initiation of the clotting cascade, which eventually results in the production of fibrin.  The D-dimer metabolite is a degredation product of fibrin clots.	12223078	21502573	30239796
F5	13.699	D-dimer levels	rs6687813	F5 encodes coagulation factor 5, an essential element of the clotting cascade, which eventually results in the production of fibrin.  The D-dimer metabolite is a degredation product of fibrin clots.	25231258	21502573	30239796
FAAH	181.06	oleoyl ethanolamide/2-hydroxypalmitate	rs570404435	FAAH encodes fatty acid amide hydrolase which can take the observed metabolite as a substrate.	17015445	36357675	36357675
FADS1	360.699	Blood metabolite ratios (arachidonate (20:4n6)/dihomo-linolenate (20:3n3 or n6))	rs174548	FADS1 encodes a delta-5 desaturase, which converts dihomo-linolenate (20:3n6) to arachidonate (20:4n6).	10601301	24816252	30239796
FADS1|FADS2	594.51	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	rs174564	FADS1 and FADS2 encode a pair of fatty acid desaturase which act on a number of related fatty acids.  Either or both could be impacting the lipid species associated with this locus.	10860662	36357675	36357675
FDX1	106.45842075605341	3beta-hydroxy-5-cholestenoate	rs2724417	FDX1 encodes ferredoxin 1 which is involved in electron transport for multiple cytochrome P450 enzymes, including CYP27A1 which plays a key role in bile acid biosynthesis which leads to the metabolites observed at this locus.	2340092	35347128	35347128
FGF23	8.398	Phosphorus levels	rs2970818	FGF23 encodes a fibroblast growth factor which regulates phosphate levels through multiple mechanisms, including regulation of levels of kidney phosphate transporters	15863037	20558539	30239796
FGF9	14.54	dehydroisoandrosterone sulfate (DHEA-S)	rs9509847	FGF9 encodes a fibroblast growth factor which is expressed in Sertoli cell and is important in the development of testes.  The metabolite observed here, dehydroisoandrosterone sulfate, is derived from dehydroisoandrosterone (DHEA) which is produced in testes.	11290325	36357675	36357675
FGGY	11.38	ribitol	rs62623594	FGGY encodes FGGY carbohydrate kinase which can phosphorylate the observed metabolite. Ribitol.	27909055	36357675	36357675
FMO1|FMO2|FMO3|FMO4	74.08	S-methylcysteine	rs909530	FMO3 encodes a flavin containing monooxygenase which can act on S-allyl-cysteine and methionine. Methylcysteine is a plausible substrate.  This isozyme prefers smaller substrates and shows highest expression in liver.	18775983	36357675	36357675
FOLH1	56.82419836715172	N-acetyl-aspartyl-glutamate (NAAG)	rs10839234	FOLH1 encodes a dipeptidase that specifically hydrolyzes n-acetyl-aspartyl-glutamate, the metabolite observed here.	3346674	35347128	35347128
FOLH1B	19.699	Homocysteine levels	rs7130284	FOLH1B encodes a liver-enriched polyglutamylfolate hydrolase which will influence folate availability for the conversion of homocysteine to methionine	9816319	23824729	30239796
FOXA2	11.719	Fasting plasma glucose (East Asian)	rs6048216	FOXA2 encodes a transcription factor that impacts the expression of many genes (i.e., GCK, SLC2A2) previously related to the glucose levels.	11875061	25187374	30239796
FOXE1	10.699	Thyroid hormone levels (FT4: free thyroxine)	rs7045138	FOXE1 encodes a transcription factor expressed specifically in thyroid gland, the source of the thyroxine (FT4 thyroid hormone)	9214635	23408906	30239796
FTCD	12.395665926897088	formiminoglutamate	rs398124234	FTCD encodes a glutamate formimidoyltransferase which transfers one-carbon units between glutamate and folate. The metabolite seen here, forminoglutamate, can be both a substrate and a product for this enzyme. 	13672973	35347128	35347128
FUT2	35.523	Urinary metabolites (H-NMR features) (5.2125, Fucose)	rs2287921	FUT2 encodes a galactoside 2-alpha-L-fucosyltransferase, which adds fucose moeities to various proteins.	7876235	24586186	30239796
FUT8	17.523	N-glycan levels (DG1)	rs7159888	FUT8 encodes a fucosyltransferase that catalyzes the transfer of fucose to complex glycopeptides.	985526	21203500	30239796
G6PC2	217.046	Fasting glucose-related traits (FPG)	rs560887	G6PC2 encodes a pancreas-specific glucose-6-phosphatase. This enzyme influences the fasting glucose set point for basal insulin secretion.	23274894	20081858	30239796
G6PD	8.046	Bilirubin levels	rs766420	G6PD encodes the glucose-6-phosphate dehydrogenase, an enzyme critical to red blood cell metabolism.  G6PD deficiency results in accumulation of bilirubin, a breakdown product of heme.	11445808	19419973	30239796
GADL1	115.02	N-acetylcarnosine/creatinine	rs6800284	GADL1 encodes the glutamate decarboxylase-like protein 1 which produces beta-alanine, a component of the dipeptide carnosine.	23038267	36357675	36357675
GALNT2	40.454	HDL Cholesterol	rs4846914	GALNT2 encodes an acetylgalactosaminyltransferase which glycosylates the APOC3 protein, which in turn inhibits the lipoprotein lipase (LPL) enzyme which hydrolyzes triglycerides from triglyceride-containing lipoproteins, leading to the generation of HDL	22152306	GLGC	30239796
GAMT	10.94	guanidinoacetate	rs189224273	GAMT encodes guanidinoacetate N-methyltransferase, a methyltransferase that converts guanidoacetate, the metabolite observed at this locus, to creatine.	13192118	36357675	36357675
GATM	212.45	homoarginine/lysine	rs1145091	GATM encodes glycine amidinotransferase.  This enzyme produces the homoarginine when using lysine as a substrate., GATM encodes glycine amidinotransferase.  This enzyme produces the Homoarginine when using lysine as a substrate.	3800397|23010440	36357675	36357675
GBA3	381.93	methyl glucopyranoside (alpha + beta)/myo-inositol	rs358231	GBA3 encodes a beta-glucosidase which can hydrolyze and release glucose from a variety of glucosides including methylglucoside, the metabolite observed here.	11389701	36357675	36357675
GC	108.699	Vitamin D insufficiency	rs2282679	GC encodes the vitamin D binding protein which transports multiple forms of vitamin D	49052	20541252	30239796
GCDH	219.72	glutarylcarnitine (C5)/creatinine	rs8012	GCDH encodes a glutaryl-CoA dehydrogenase which catalyzes the oxidative decarboxylation of glutaryl-CoA to crotonyl-CoA.	3081514	36357675	36357675
GCH1	88.91649738016973	dopamine 3-O-sulfate	rs17128050	GCH1 encodes GTP cyclohydrolase 1 which catalyzes the first step in the biosynthesis of tetrahydrobiopterin.  Tetrahydrobiopterin is a cofactor for tyrosine hydroxylase (encoded by TH).   Tyrosine hydroxylase converts tyrosine to L-DOPA.  L-DOPA is then converted to the metabolite observed here, 3-methoxytyrosine, by the enzyme catechol-O-methyltransferase (encoded by COMT).  TH and COMT are also associated with 3-methyoxytyrosine.	2463916	35347128	35347128
GCK	98.541	MAGIC Fasting Glucose GWAS/Metabochip 2012	rs6975024	GCK encodes glucokinase which directly phosphorylates glucose and thus contributes to glucose homeostasis	1871135	MAGIC	30239796
GCKR	148.21481257997064	mannose	rs1260326	GCKR encodes a glucokinase inhibitor which influences levels of glucose and numerous downstream metabolites.	2917560	35347128	35347128
GCSH	12.523	Glycine	rs10083777	GCSH encodes the glycine cleavage system H protein which is involved in the degradation of glycine.  GCSH deficiency leads to excess plasma glycine.	18941301	27005778	30239796
GDPD1	10.13	1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6)*	rs11453938	GDPD1 encodes a lysophospholipase D enzyme with observed activity against N-palmitoyl-lysoplasmenylethanolamine, that is, a phosphatidylethanolamine with a single fatty acid chain, a palmityoyl moeity at the C-1 position, attached via an alkenyl ether (-O-CH=CH-) link to the glycerol backbone.  The observed molecule is also a phosphotidylethanolamine with a palmityoyl moeity at the C-1 position, attached via an alkenyl ether (-O-CH=CH-) link, with an additional fatty acid chain at the C-2 position, attached via the more typical ester link.  The observed molecule is thus likely upstream of the known lysophospholipase D substrate.	25596343	36357675	36357675
GGH	15.71063404847997	gamma-glutamylglycine	rs200592548	GGH encodes gamma-glutamyl hydrolase, primarily known for its activity on polyglutamyl folate. Dipeptides with a gamma-linked glutamate residue represent a plausible but unstudied set of potential substrates.	18902391	35347128	35347128
GGT1	90.62	cysteine-glutathione disulfide/cys-gly, oxidized	rs2006227	GGT1 encodes gamma-glutamyltransferase 1 which catalyzes the transfer of the glutamyl moiety of glutathione to a number of different amino acids and can take the analyte reported here (the cysteine-glutathione mixed disulfide) as a substrate.	6130452	36357675	36357675
GLDC	81.37	3-methylglutarylcarnitine (2)	rs1658973	GLDC encodes glycine dehydrogenase which takes glycine as a substrate.  GLDC deficiency causes excess of glycine.	4585091	36357675	36357675
GLS2	78.26	threonine/glutamine	rs1043011	GLS2 encodes the mitochondrial phosphate-activated glutaminase which catalyzes the hydrolysis of glutamine to glutamate and ammonia.	10620514	36357675	36357675
GLTPD2	69.81559251458768	palmitoyl dihydrosphingomyelin (d18:0/16:0)	rs79202680	GLTPD2 encodes a protein homologous to a ceramide-1-phosphate transfer protein, which acts on ceramide-1-phosphate, which is structurally related to the metabolite observed at this locus, palmitoyl dihydrosphingomyelin.	26234207|23863933	35347128	35347128
GLYAT	16.94	N-acetylglycine	rs11229675	GLYAT encodes glycine-N-acyltransferase which can create a variety of acylglycine conjugates including the metabolite observed here, N-acetylglycine.	13174534	36357675	36357675
GMPR	17.987584625237567	xanthosine	rs6459467	GMPR encodes guanosine monophosphate reducatase which converts guanosine monophosphate to inosine monophosphate which can subsequently be converted to hypoxanthine by the enzyme purine-nucleoside phosphorylase.	218932	35347128	35347128
GMPS	15.344189505504747	xanthosine	rs183728597	GMPS encodes guanosine monophosphate (GMP) synthase which takes xanthosine monophosphate (XMP) as a substrate to generate GMP.	240826	35347128	35347128
GNMT	62.699	Plasma homocysteine levels (post-methionine load test)	rs9296404	GNMT encodes an enzyme which produces S-adenosylhomocysteine.  S-adenosylhomocysteine can be converted to homocysteine by the enzyme S-adenosylhomocysteine hydrolase	10843803	24651765	30239796
GNPTAB	13.003444550366634	aspartate	rs1209353188	GNPTAB encodes an N-acetylglucosamine-1-phosphotransferase which produces aspartylglucosamines. The eventual degradation of aspartylglucosamine produces aspartate. 	6457829	35347128	35347128
GOT2	303.7	imidazole lactate/creatinine	rs11076256	GOT2 encodes the enzyme aspartate aminotransferase which can take each of the aromatic amino acids as substrates. In particular, GOT2 catalyzes the conversion of phenylalanine to phenylpyruvate which is then converted to phenyllactate.	4623131	36357675	36357675
GPCPD1	9.02	glycerol 3-phosphate	rs73075609	GPCPD1 encodes a choline-releasing glycerophosphodiesterase which converts glycerol phosphocholine to choline and glycerol 3-phosphate, the metabolite observed here.	22570503	36357675	36357675
GPIHBP1	8.663	HDL Cholesterol	rs10087900	GPIHBP1 encodes the glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1, a receptor for the HDL.	12496272	GLGC	30239796
GPT	22.17	aspartate/malate	rs10108836	GPT encodes alanine aminotransferase which takes alanine as a substrate and produces glutamate which is one step removed from aspartate.	9119391	36357675	36357675
GSTZ1	17.73754891026957	maleate	rs7972	GSTZ1 encodes a maleylacetoacetate isomerase which converts maleylacetoacetate to fumarylacetoacetate.  Hydrolysis of maleylacetoacetate produces the metabolite observed here, maleate.	9925947	35347128	35347128
GUSB	8.097	Calcium levels	rs17711722	GUSB encodes a glucuronidase which induces the opening of the calcium-specific kidney-specific channel, TRPV5.	18495742	24068962	30239796
HACL1	18.87	2-hydroxydecanoate	rs149765139	HACL1 encodes 2-hydroxyacyl-CoA lyase 1 which catalyzes the shortening of long chain 2-hydroxy fatty acids, like the observed metabolite, 2-hydroxydecanoate.	17956236	36357675	36357675
HADHA|HADHB	15.328919767261151	3-hydroxylaurate	rs116654420	HADHA|HADHB together encode a mitochondiral heterodimer which is involved in fatty acid beta oxidation. The alpha subunit encodes the 3-hydroxyacyl-CoA dehydrogenase activity.	1550553	35347128	35347128
HAL	75.0565054840939	trans-urocanate	rs3819817	HAL encodes histidine ammonia-lyase which converts histidine to the metabolite seen here, trans-urocanic acid	13018112	35347128	35347128
HAO2	85.27	alpha-hydroxyisovalerate	rs41313995	HAO2 encodes a 2-hydroxyacid oxidase which catalyzes the oxidation of L-alpha-hydroxy acids; alpha-hydroxyisovalerate or a related metabolite may be a potential substrate	10777549	36357675	36357675
HDAC10	30.648783654660658	N-acetylputrescine	rs61748567	HDAC10 encodes a polyamine deacetylase. The metabolites observed at this locus are acetylated polyamines.	28516954	35347128	35347128
HDAC6	79.43842163169904	N6-acetyllysine	rs61735967	HDAC6 encodes a lysine deacetylase that can act on multiple proteins.  The observed metabolite, acetyllysine, is the substrate.	12606581	35347128	35347128
HFE	96.565	Iron|serum	rs1800562	HFE encodes the hereditary hemochromatosis protein which binds transferrin receptor which binds transferrin which binds iron	9465039	25352340	30239796
HIBCH	167.0485167692477	methylmalonate (MMA)	rs291459	HIBCH encodes 3-hydroxyisobutyryl-CoA hydrolase which generates free hydroxyisobutyrate in the breakdown of valine.  Methylmalonate is derived from hydroxyisobutyrate.	13457352	35347128	35347128
HLCS	7.269	2-Hydroxyisovalerylcarnitine	rs1571700	HLCS encodes a biotin apo-protein ligase which attaches biotin to four biotin-dependent enymes, including enzymes involved in branched chain amino acid catabolism.  Holocarboxylase synthetase deficiency results in increased levels of 3-Hydroxyisovalerylcarnitine.	19201116	26401656	30239796
HMGCR	77.108	LDL Cholesterol	rs12916	HMGCR encodes HMG-CoA reductase, the rate-limiting enzyme for cholesterol biosynthesis	1967820	GLGC	30239796
HNF4A	33.785	HDL Cholesterol	rs1800961	HNF4A drives expression of many cholesterol related genes including HMGCR	21071704	GLGC	30239796
HP	40.398	LDL cholesterol	rs2000999	HP encodes haptoglobin which binds to ApoA-I, the primary protein component of HDL.	23420675	24097068	30239796
HPD	49.84	beta-hydroxyisovalerate/4-hydroxyphenylpyruvate	rs11043222	HPD encodes 4-hydroxyphenylpyruvate dioxygenase.  4-hydroxyphenylpyruvate is the second strongest association signal at this locus.	873932	36357675	36357675
HSD17B10	121.28291227507299	tiglylcarnitine (C5:1-DC)	rs201378370	HSD17B10 encodes the 2-methyl-3-hydroxybutyryl-CoA dehydrogenase necessary for isoleucine degradation.  Tiglyl-CoA is converted into its substrate and a enzyme deficiency results in accumulation of tiglylcarnitine and tigloylglycine.	7639524|11102558	35347128	35347128
HSD17B2	10.81	dehydroisoandrosterone sulfate (DHEA-S)	rs2911282	HSD17B2 encodes a 17-beta-hydroxysteroid dehydrogenase which converts testosterone to androstenedione.  This is further metabolized to dehydroepiandrosterone (DHEA) before being sulfated to produce the metabolite observed here, dehydroisoandrosterone sulfate (DHEA-S).	8099587	36357675	36357675
HSD3B7	10.261457259071214	3beta,7alpha-dihydroxy-5-cholestenoate	rs7206511	HSD3B7 encodes a 3 beta-hydroxysteroid dehydrogenase specific for C27 bile acids. The observed metabolite is a substrate.	11067870	35347128	35347128
HYKK	158.61	5-hydroxylysine	rs1847530	HYKK encodes hydroxylysine kinase which specifically phosphorylates the metabolite observed at this locus, 5-hydroxylysine.  Hydroxylysine is a breakdown product of collagen, as is the other metabolite observed at this locus, hydroxyproline. The enzyme, however, only acts on hydroxylysine.	4621658|22241472	36357675	36357675
IDO1	16.45	kynurenine	rs10085935	IDO1 and IDO2 encode the two indoleamine 2,3-dioxygenase isozymes.  Both enzymes take tryptophan and tryptophan-related metabolites as substrates, but IDO1 is more active [18282734].  IDO1 has known activity against 5-hydroxy-tryptophan [10833386].  Common polymorphisms in IDO2 ablate activity but have no effect on this endpoint [17671174]	10833386	36357675	36357675
IGF2BP2	7.757	MAGIC Fasting Glucose GWAS/Metabochip 2012	rs7651090	IGF2BP2 encodes a protein which binds insulin-like growth factor 2 mRNA.  	9891060	MAGIC	30239796
INSIG2	11.77	LDL Cholesterol	rs10490626	INSIG2 encodes a protein that plays a key role in regulating the SREBP cleavage-activating protein (SCAP), thus providing a means for feedback regulation of cholesterol synthesis over a wide range of sterol concentrations.	12242332	GLGC	30239796
IRF2BP2	27.153	Total Cholesterol	rs558971	IRF2BP2 encodes a protein which binds to the interferon regulatory factor 2 transcription factor.  This transcription factor is essential for the activation of the ABCA1 cholesterol transporter.	26195219	GLGC	30239796
ISYNA1	13.95	myo-inositol	rs35231179	ISYNA1 encodes an inositol-3-phosphate synthase, which converts d-glucose 6-phosphate to 1-d-myo-inositol 3-phosphate.	15024000	36357675	36357675
IVD	117.47	propionylcarnitine/isovalerylcarnitine	rs12594728	IVD encodes isovaleryl-CoA dehydrogenase which acts on isovaleryl-CoA in the third step of leucine catabolism.  Isovaleryl-CoA is converted to isovalerylcarnitine for circulation.	3597357	36357675	36357675
KLKB1	47.398	Blood metabolite levels (bradykinin, des-arg(9))	rs4253311	KLKB1 encodes kallikrein, a serine protease which releases bradykinin from kininogen.	8662673	24816252	30239796
KMO	199.71	kynurenate/quinolinate	rs61825638	KMO encodes kynurenine 3-monooxygenase which acts on kynurenine.  Alternatively kynurenine can be converted into the metabolite seen here, kynurenate.	4389188	36357675	36357675
KNG1	12.222	Blood metabolite levels (bradykinin, des-arg(9))	rs5030062	KNG1 includes the coding sequence for the bradykinin peptide.	2989293	24816252	30239796
KYAT1	44.76	indolelactate	rs199627869	KYAT1 encodes a kyneurenine aminotransferase, also known as hKAT-1, which can convert tryptophan to indolepyruvate.  Indolepyruvate is then converted to indolelactate.	15606768	36357675	36357675
KYAT3	315.08	imidazole lactate/creatinine	rs2893083	KYAT3 encodes an aminotransferase with known activity against kyneurenine and other amino acids.  Related enzymes have activity against histidine, generating imidazole pyruvate.  This can then be converted to imidazole lactate.	25231977|15606768	36357675	36357675
KYNU	19.34	xanthurenate	rs17808482	KYNU encodes kynureninase a vitamin B6 dependent enzyme which hydrolyzes the tryptophan metabolite kynurenine.  Xanthurenate is an alternate metabolite of kynurenine.  In animals deprived of vitamin B6, excretion of xanthurenate is increased.	13032082	36357675	36357675
L2HGDH	10.595166283380062	2-hydroxyglutarate	rs12886516	L2HGDH encodes the mitochondrial  L-2-hydroxyglutarate dehydrogenase which generates 2-oxoglutarate from the metabolite observed here, L-2-hydroxyglutarate.	8241290	35347128	35347128
LACTB	93.10651565378151	succinylcarnitine (C4-DC)	rs189796619	LACTB is an important mitochondrial protein influencing mitochondrial lipid production. Succinylcarnitine, the observed metabolite at the locus, is a product of the Krebs cycle which occurs within the mitochondrion.	28642719	35347128	35347128
LCAT	53.097	HDL cholesterol	rs16942887	LCAT encodes lecithin-cholesterol acyltransferase which travels with HDL, esterifying cholesterol to cholesterol ester for incorporation into the HDL particles for transport back to the liver.	4868699	24097068	30239796
LCT	52.65	1,5-anhydroglucitol (1,5-AG)	rs4988235	LCT encodes lactase, a disaccharidase which hydrolyzes lactose, enabling the constituent monosaccharides to be absorbed in the small intestines.  1,5-anhydroglucitol is short-term marker of plasma glucose levels because it competes with monosaccharides for reabsorption in the kidneys.  A second associated metabolite, galactonate, is derived from a product of the lactase reaction.	16992869|18088226	36357675	36357675
LDHA	160.8	imidazole lactate/alpha-hydroxyisovalerate	rs4150678	LDHA encodes lactate dehydrogenase.  In addition to producing pyruvate from lactate, this enzyme can produce the observed metabolite from the keto acid 3-methyl-2-oxobutanoate	26014429	36357675	36357675
LDLR	261.415	LDL Cholesterol	rs6511720	LDLR encodes the LDL receptor.	226968	GLGC	30239796
LDLRAP1	16.519	LDL Cholesterol	rs10903129	LDLRAP1 encodes an adapter protein which binds to the LDL receptor.  Mutations in this gene cause a form of familial hypercholesterolemia.	15166224	GLGC	30239796
LHX3	13.699	Thyroid hormone levels (FT4: free thyroxine)	rs7860634	LHX3 encodes pituitary-specific transcription factor which is critical for pituitary gland development.  The pituitary gland produces thyroid stimulating hormone which directs the thyroid gland to produce thyroxine (T4).	8638120	23408906	30239796
LIPC	264.58	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*/1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	rs1077835	LIPC encodes hepatic triglyceride lipase which hydrolyses triglycerides.  The enzyme plays a key role in regulating levels of HDL.	7417375	36357675	36357675
LIPG	65.746	HDL Cholesterol	rs4939883	LIPG encodes endothelial lipase which acts on HDL.  Inhibition of endothelial lipase causes increased HDL cholesterol levels in vivo	12569161	GLGC	30239796
LPA	16.141	Total Cholesterol	rs10455872	LPA encodes the lipoprotein(a) protein, a constituent of the lipoprotein(a) particle, a carrier of cholesterol.	24977982	GLGC	30239796
LPCAT3	48.523	Red blood cell fatty acid levels (OA)	rs2110073	LPCAT3 encodes a lysophosphatidylcholine acyltransferase which takes the CoA version of oleic acid to convert lysophosphatidylcholine to phosphatidylcholine.	18781350	25500335	30239796
LPCAT4	9.85	1-eicosenoyl-GPC (20:1)*	rs2279686	LPCAT4 encodes a lysophosphatidylcholine acyltransferase which can convert lysophosphatidylcholines, like the metabolite observed here (1-eicosenoyl-GPC), to a phosphatidycholine.	18287005	36357675	36357675
LPGAT1	8.523	Stearic acid (18:0) plasma levels	rs11119805	LPGAT1 encodes a lysophosphatidylglycerol acyltransferase which transfers long-chain acyl-CoAs to lysophosphatidylglycerol with a demonstrated preference for stearoyl-CoA.	15485873	23362303	30239796
LPL	198.74	Triglycerides	rs12678919	LPL encodes the lipoprotein lipase which hydrolyzes triglycerides.  LPL deficiency results in accumulation of triglycerides.	13712364	GLGC	30239796
LRPAP1	11.795	Triglycerides	rs6831256	LRPAP1 encodes a protein which binds the LDL-receptor-related protein and the VLDL receptor affecting distribution of lipoprotein particles.	7538675	GLGC	30239796
MBOAT7	367.68	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)/1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	rs34564463	MBOAT7 encodes a lysophosphatidylinositol acyltransferase that has specificity for arachidonoyl-CoA as an acyl donor. Arachidonate is readily converted to arachidonoyl-CoA. Thus the associated ratio is closely linked to the substrate/product pair for this enzyme.	18094042	36357675	36357675
MCCC1	38.14	beta-hydroxyisovalerate	rs10937112	MCCC1 encodes methylcrotonoyl-CoA carboxylase 1 which catalyzes the conversion of 3-methylcrotonyl-CoA to 3-methylglutaconyl-CoA in the breakdown of leucine.  An alternate fate of 3-methylcrotonyl-CoA is 3-hydroxyisovaleryl-CoA.  3-Methylcrotonyl-CoA carboxylase deficiency has been associated with elevated urinary 3-hydroxyisovalerylcarnitine levels.	19339287	36357675	36357675
MFSD2A	22.3	1-palmitoyl-GPE (16:0)	rs61781290	MFSD2A encodes a lysophosphotidylcholine transporter.  The observed metabolites are lysolipids.	24828044	36357675	36357675
MGAM	35.56	1,5-anhydroglucitol (1,5-AG)	rs7801101	MGAM encodes maltase-glucoamylase, a disaccharidase which hydrolyzes maltase enabling the constituent monosaccharides to be absorbed in the small intestines.  1,5-anhydroglucitol is short-term marker of plasma glucose levels because it competes with monosaccharides for reabsorption in the kidneys.	18088226	36357675	36357675
MLXIPL	99.866	Triglycerides	rs17145738	MLXIPL encodes the carbohydrate-responsive element-binding protein, a transcription factor for multiple lipogenic enzymes.	16890538	28334899	30239796
MMACHC	8.699	Homocysteine levels	rs4660306	MMACHC encodes a cobalamin-binding protein.  Defects in MMACHC are a known cause of homocystinuria.	16311595	23824729	30239796
MMUT	9.699	Homocysteine levels	rs9369898	MUT is a cobalamin-dependent enzyme.  Cobalamin is also needed in a reaction taking the homocysteine as a substrate	7901104	23824729	30239796
MOCOS	12.5	7-methylguanine	rs59942447	MOCOS encodes molybdenum cofactor sulfurase which sulfurates the molybdenum cofactor used by aldehyde oxidase (encoded by AOX1).  Aldehyde oxidase acts on many substrates including purines.  Activity against the observed metabolite, 7-methylguanine, has been reported.  The AOX1 locus harbors its own associations with this same metabolite.	11302742|5044040	36357675	36357675
MOCS1	9.07	cysteine s-sulfate	rs11964984	MOCS1 encodes the molybdenum cofactor biosynthesis protein 1 which is essential for the maturation of sulfite oxidase (encoded by SUOX).  Sulfite oxidase converts sulfite to sulfate, a key step in cysteine catabolism.  Deficiency of either enzyme leads to accumulation of sulfite which then reacts with cystine to produce cysteine s-sulfate, the metabolite observed here.	16140720	36357675	36357675
MTHFR	103.398	Homocysteine levels	rs1801133	MTHFR encodes methylenetetrahydrolate reductase, an enzyme that catalyzes the conversion of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate, which is the methyl donor in the conversion of homocysteine to methionine.  Defects in MTHFR lead to homocysteinuria.	5057914	23824729	30239796
MTNR1B	214.971	MAGIC Fasting Glucose GWAS/Metabochip 2012	rs10830963	MTNR1B encodes a melatonin receptor.  Melatonin stimulates glucose uptake.	16842543	MAGIC	30239796
MTR	9.699	Homocysteine levels	rs2275565	MTR encodes 5-methyltetrahydrofolate-homocysteine methyltransferase.  The enzyme acts on homocysteine to produce methionine	2407589	23824729	30239796
MUC1	35.699	Magnesium levels	rs4072037	MUC1 encodes a mucin protein which forms a mucosal layer in intestines and kidney and may regulate absorption of magnesium	1983814	20700443	30239796
MVK	19.604	HDL Cholesterol	rs2241210	MVK encodes mevalonate kinase which synthesizes a precursor to cholesterol.	2153681	GLGC	30239796
MYLIP	16.68	LDL Cholesterol	rs3757354	MYLIP encodes an E3 ubiquitin ligase which ubiquitinates the low density lipoprotein receptor (LDLR), which promotes the degradation of LDLR, influencing the circulating levels of LDL-cholesterol.	19520913	GLGC	30239796
NAAA	11.596707854841746	N-stearoyltaurine	rs112197434	NAAA encodes the N-acylethanolamine-hydrolyzing acid amidase.  N-acyl taurines such as the observed metabolite here, n-stearoyltaurine, represent a potential substrate class for NAAA	15655246	35347128	35347128
NAALAD2	58.45580788923497	beta-citrylglutamate	rs7940029	NAALAD2 encodes a beta-citrylglutamate hydrolase which can act on the metabolite seen here, beta-citrylglutamate.	21908619	35347128	35347128
